TC ID,대분류,중분류,테스트 항목,사전조건,테스트 절차,기대결과,우선순위,요구사항 출처,AOS,iOS,비고
"MENU-001","전체 메뉴","메뉴 노출","전체 메뉴의 3D방 꾸미기 메뉴 노출 위치 확인","로그인 상태
홈 화면","1. 하단 탭 ""전체"" 선택","1. ""인테리어 상담"" 메뉴 바로 아래에 ""3D방 꾸미기"" 메뉴가 노출된다","하","기획서 v1.0 p.1",,,
"3D-001","3D방 꾸미기 온보딩","화면 구성","최초 진입 시 온보딩 화면 구성 확인","로그인 상태
3D방 꾸미기 최초 진입
전체 메뉴 화면","1. ""3D방 꾸미기"" 메뉴 선택","1. 온보딩 화면으로 이동되고 타이틀 ""스마트폰에서 손쉽게 내 방을 계획해보세요"", ""3D 방꾸미기 시작하기"" 버튼, 우측 상단 닫기(X) 버튼이 노출된다","중","기획서 v1.0 p.2",,,
"3D-002","3D방 꾸미기 온보딩","자동 전환","온보딩 화면 5초 경과 시 자동 전환 확인","로그인 상태
3D방 꾸미기 최초 진입
온보딩 화면 노출 상태","1. 버튼을 선택하지 않고 5초간 대기","1. 5초 경과 시 신규 3D방 편집 화면으로 이동되고 튜토리얼(1/5)이 노출된다","상","기획서 v1.0 p.2",,,
"3D-003","3D방 꾸미기 온보딩","시작하기 버튼","5초 경과 전 시작하기 버튼 선택 시 화면 이동 확인","로그인 상태
3D방 꾸미기 최초 진입
온보딩 화면 노출 상태","1. 온보딩 화면 진입 4초 시점에 ""3D 방꾸미기 시작하기"" 버튼 선택
2. 편집 화면에서 3초간 대기","1. 신규 3D방 편집 화면으로 이동되고 튜토리얼(1/5)이 노출된다
2. 편집 화면이 다시 열리지 않고 튜토리얼(1/5)이 유지된다","상","기획서 v1.0 p.2 / 질의 답변(타이머 취소)",,,
"3D-004","3D방 꾸미기 온보딩","닫기","온보딩 화면 닫기(X) 선택 시 이동 화면 확인","로그인 상태
3D방 꾸미기 최초 진입
온보딩 화면 노출 상태","1. 우측 상단 닫기(X) 선택","1. 전체 메뉴 화면으로 이동된다","중","기획서 v1.0 p.2",,,
"3D-005","3D방 꾸미기 온보딩","재진입","재진입 시 이동 화면 확인","로그인 상태
3D방 꾸미기 진입 이력 있음
전체 메뉴 화면","1. ""3D방 꾸미기"" 메뉴 선택","1. 온보딩 화면 없이 내 3D방 목록 화면으로 이동된다","상","기획서 v1.0 p.2 / 질의 답변(재진입)",,,
"3D-006","3D방 꾸미기 온보딩","비로그인","비로그인 진입 시 로그인 후 복귀 화면 확인","비로그인 상태
전체 메뉴 화면","1. ""3D방 꾸미기"" 메뉴 선택
2. 로그인 화면에서 테스트 계정으로 로그인","1. 로그인 화면으로 이동된다
2. 로그인 완료 후 온보딩 화면으로 이동된다","상","기획서 v1.0 p.1, p.2",,,
"3D-007","3D방 꾸미기 온보딩","자동 전환","백그라운드 복귀 시 자동 전환 타이머 확인","로그인 상태
3D방 꾸미기 최초 진입
온보딩 화면 노출 상태","1. 온보딩 화면 진입 3초 시점에 홈 버튼으로 앱을 백그라운드 전환
2. 10초 후 앱으로 복귀
3. 복귀 직후부터 5초간 대기","1. 앱이 백그라운드로 전환된다
2. 온보딩 화면이 노출된다
3. 복귀 시점부터 5초 경과 시 신규 3D방 편집 화면으로 이동된다","중","질의 답변(백그라운드) / 규칙집 BUG-01","","","예외 EX02"
"ED-001","신규 3D방 편집","튜토리얼","튜토리얼 단계 진행 확인","로그인 상태
신규 3D방 편집 화면 최초 진입
튜토리얼(1/5) 노출 상태","1. ""다음"" 버튼 4회 선택
2. ""완료"" 버튼 선택","1. 편집 화면 위 딤 처리와 말풍선이 유지된 채 단계 표시가 2/5, 3/5, 4/5, 5/5 순으로 바뀌고, 5/5 단계에서 ""완료"" 버튼이 노출된다
2. 튜토리얼이 닫히고 편집 화면이 노출된다","중","기획서 v1.0 p.3 / 질의 답변(튜토리얼 형태)",,,
"ED-002","신규 3D방 편집","튜토리얼","튜토리얼 건너뛰기 후 재진입 시 튜토리얼 노출 여부 확인","로그인 상태
신규 3D방 편집 화면 최초 진입
튜토리얼(1/5) 노출 상태","1. ""건너뛰기"" 선택
2. 뒤로가기로 전체 메뉴 이동 후 ""3D방 꾸미기"" > ""새 방 만들기"" 선택","1. 튜토리얼이 닫히고 편집 화면이 노출된다
2. 신규 3D방 편집 화면이 튜토리얼 없이 노출된다","하","기획서 v1.0 p.3 / 질의 답변(건너뛰기)",,,
"ED-003","신규 3D방 편집","저장 버튼","방 이름 입력 여부에 따른 저장 버튼 활성 상태 확인","로그인 상태
신규 3D방 편집 화면
튜토리얼 닫힘 상태","1. 방 이름 입력창 확인
2. 방 이름에 ""거실"" 입력
3. 입력한 방 이름 전체 삭제","1. 플레이스홀더 ""방 이름을 입력해주세요""가 노출되고 ""저장"" 버튼이 비활성화되어 있다
2. ""저장"" 버튼이 활성화된다
3. ""저장"" 버튼이 비활성화된다","중","기획서 v1.0 p.3 / 규칙집 UI-03",,,
"ED-004","신규 3D방 편집","방 이름","방 이름 최대 길이 경계값 확인","로그인 상태
신규 3D방 편집 화면
튜토리얼 닫힘 상태","1. 방 이름에 ""가나다라마바사아자차카타파하가나다라마바"" (20자) 입력
2. 이어서 ""사"" 1자 추가 입력","1. 20자가 모두 입력된다
2. 21번째 글자가 입력되지 않고 20자가 유지된다","중","기획서 v1.0 p.3 / 질의 답변(최대 길이)",,,
"ED-005","신규 3D방 편집","방 이름","방 이름 허용 외 문자 입력 제한 확인","로그인 상태
신규 3D방 편집 화면
튜토리얼 닫힘 상태","1. 방 이름에 ""내 방 1"" 입력
2. 이어서 ""!@#"" 입력
3. 이어서 이모지 ""😀"" 입력","1. ""내 방 1""이 입력된다
2. 특수문자가 입력되지 않고 ""내 방 1""이 유지된다
3. 이모지가 입력되지 않고 ""내 방 1""이 유지된다","중","기획서 v1.0 p.3",,,"허용 외 문자 처리 방식(입력 차단/오류 문구)은 기획 미기재. 입력 차단 기준으로 작성"
"ED-006","신규 3D방 편집","저장","방 저장 성공 시 토스트 및 목록 이동 확인","로그인 상태
신규 3D방 편집 화면
방 이름 ""거실"" 입력 상태","1. ""저장"" 버튼 선택","1. ""방이 저장되었습니다"" 토스트가 노출되고, 2초 후 내 3D방 목록으로 이동되어 목록 최상단에 ""거실""이 노출된다","상","기획서 v1.0 p.3, p.4 / 질의 답변(이동 시간, 정렬)",,,
"ED-007","신규 3D방 편집","저장","네트워크 끊김 상태에서 저장 실패 처리 확인","로그인 상태
신규 3D방 편집 화면
방 이름 ""거실"" 입력 상태
기기 비행기 모드 ON","1. ""저장"" 버튼 선택","1. ""저장에 실패했어요. 다시 시도해주세요"" 토스트가 노출되고, 편집 화면에 방 이름 ""거실""이 유지된다","상","기획서 v1.0 p.3 / 질의 답변(실패 문구)",,,"예외 EX04"
"ED-008","신규 3D방 편집","저장","저장 버튼 연속 선택 시 중복 저장 방지 확인","로그인 상태
신규 3D방 편집 화면
방 이름 ""침실"" 입력 상태
내 3D방 0개 보유","1. ""저장"" 버튼을 빠르게 3회 연속 선택
2. 내 3D방 목록 이동 후 목록 확인","1. 첫 선택 후 ""저장"" 버튼이 비활성화된다
2. ""침실"" 방이 1개만 노출된다","상","질의 답변(중복 저장)",,,"예외 EX05"
"ED-009","신규 3D방 편집","이동","편집 화면 뒤로가기 시 이동 화면 확인","로그인 상태
3D방 꾸미기 최초 진입
온보딩 → 신규 3D방 편집 화면 이동 상태
튜토리얼 닫힘 상태","1. 뒤로가기 선택","1. 온보딩 화면을 거치지 않고 전체 메뉴 화면으로 이동된다","중","기획서 v1.0 p.3",,,"예외 EX01"
"LIST-001","내 3D방 목록","빈 목록","저장한 방이 없을 때 목록 화면 확인","로그인 상태
3D방 꾸미기 진입 이력 있음
내 3D방 0개 보유","1. 전체 메뉴 > ""3D방 꾸미기"" 선택
2. ""새 방 만들기"" 버튼 선택","1. 내 3D방 목록에 ""아직 만든 방이 없어요"" 문구와 ""새 방 만들기"" 버튼이 노출된다
2. 신규 3D방 편집 화면으로 이동된다","중","기획서 v1.0 p.4",,,"예외 EX08"
"LIST-002","내 3D방 목록","목록 구성","목록 항목 구성 및 정렬 순서 확인","로그인 상태
내 3D방 3개 보유 (수정일: 거실 09.01, 침실 09.05, 서재 09.03)","1. 내 3D방 목록 진입","1. 침실, 서재, 거실 순으로 노출되고, 각 항목에 썸네일, 방 이름, 마지막 수정일(2026.09.05 형식)이 노출된다","중","기획서 v1.0 p.4 / 질의 답변(정렬)",,,
"LIST-003","내 3D방 목록","목록 구성","방 이름 15자 초과 시 목록 표시 확인","로그인 상태
방 이름 ""가나다라마바사아자차카타파하가나다라"" (18자) 방 보유","1. 내 3D방 목록 진입","1. 방 이름이 ""가나다라마바사아자차카타파하가…""로 15자까지 노출되고 이후는 말줄임 처리된다","하","기획서 v1.0 p.4 / 질의 답변(최대 길이)",,,"예외 EX09"
"LIST-004","내 3D방 목록","생성 제한","방 9개 보유 시 새 방 만들기 가능 확인","로그인 상태
내 3D방 9개 보유
내 3D방 목록 화면","1. ""새 방 만들기"" 버튼 선택","1. 신규 3D방 편집 화면으로 이동된다","상","기획서 v1.0 p.4",,,"경계값"
